ID	Marital Status	Gender	 Income 	Children	Education	Occupation	Home Owner	Cars	Commute Distance	Region	Age	Age Range	Purchased Bike
12496	Married	Female	" $40,000 "	1	Bachelors	Skilled Manual	Yes	0	0-1 Miles	Europe	42	Adult	No
24107	Married	Male	" $30,000 "	3	Partial College	Clerical	Yes	1	0-1 Miles	Europe	43	Adult	No
14177	Married	Male	" $80,000 "	5	Partial College	Professional	No	2	2-5 Miles	Europe	60	Middle Age	No
24381	Single	Male	" $70,000 "	0	Bachelors	Professional	Yes	1	5-10 Miles	Pacific	41	Adult	Yes
25597	Single	Male	" $30,000 "	0	Bachelors	Clerical	No	0	0-1 Miles	Europe	36	Adult	Yes
13507	Married	Female	" $10,000 "	2	Partial College	Manual	Yes	0	1-2 Miles	Europe	50	Middle Age	No
27974	Single	Male	" $160,000 "	2	High School	Management	Yes	4	0-1 Miles	Pacific	33	Adult	Yes
19364	Married	Male	" $40,000 "	1	Bachelors	Skilled Manual	Yes	0	0-1 Miles	Europe	43	Adult	Yes
22155	Married	Male	" $20,000 "	2	Partial High School	Clerical	Yes	2	5-10 Miles	Pacific	58	Middle Age	No
19280	Married	Male	" $120,000 "	2	Partial College	Manual	Yes	1	0-1 Miles	Europe	40	Adult	Yes
22173	Married	Female	" $30,000 "	3	High School	Skilled Manual	No	2	1-2 Miles	Pacific	54	Middle Age	Yes
12697	Single	Female	" $90,000 "	0	Bachelors	Professional	No	4	10+ Miles	Pacific	36	Adult	No
11434	Married	Male	" $170,000 "	5	Partial College	Professional	Yes	0	0-1 Miles	Europe	55	Middle Age	No
25323	Married	Male	" $40,000 "	2	Partial College	Clerical	Yes	1	1-2 Miles	Europe	35	Adult	Yes
23542	Single	Male	" $60,000 "	1	Partial College	Skilled Manual	No	1	0-1 Miles	Pacific	45	Middle Age	Yes
20870	Single	Female	" $10,000 "	2	High School	Manual	Yes	1	0-1 Miles	Europe	38	Adult	Yes
23316	Single	Male	" $30,000 "	3	Partial College	Clerical	No	2	1-2 Miles	Pacific	59	Middle Age	Yes
12610	Married	Female	" $30,000 "	1	Bachelors	Clerical	Yes	0	0-1 Miles	Europe	47	Middle Age	No
27183	Single	Male	" $40,000 "	2	Partial College	Clerical	Yes	1	1-2 Miles	Europe	35	Adult	Yes
25940	Single	Male	" $20,000 "	2	Partial High School	Clerical	Yes	2	5-10 Miles	Pacific	55	Middle Age	Yes
25598	Married	Female	" $40,000 "	0	Graduate Degree	Clerical	Yes	0	0-1 Miles	Europe	36	Adult	Yes
21564	Single	Female	" $80,000 "	0	Bachelors	Professional	Yes	4	10+ Miles	Pacific	35	Adult	No
19193	Single	Male	" $40,000 "	2	Partial College	Clerical	Yes	0	1-2 Miles	Europe	35	Adult	Yes
26412	Married	Female	" $80,000 "	5	High School	Management	No	3	5-10 Miles	Europe	56	Middle Age	No
27184	Single	Male	" $40,000 "	2	Partial College	Clerical	No	1	0-1 Miles	Europe	34	Adult	No
12590	Single	Male	" $30,000 "	1	Bachelors	Clerical	Yes	0	0-1 Miles	Europe	63	Middle Age	No
17841	Single	Male	" $30,000 "	0	Partial College	Clerical	No	1	0-1 Miles	Europe	29	Young Adult	Yes
18283	Single	Female	" $100,000 "	0	Bachelors	Professional	No	1	5-10 Miles	Pacific	40	Adult	No
18299	Married	Male	" $70,000 "	5	Partial College	Skilled Manual	Yes	2	5-10 Miles	Pacific	44	Adult	No
16466	Single	Female	" $20,000 "	0	Partial High School	Manual	No	2	0-1 Miles	Europe	32	Adult	Yes
19273	Married	Female	" $20,000 "	2	Partial College	Manual	Yes	0	0-1 Miles	Europe	63	Middle Age	No
22400	Married	Male	" $10,000 "	0	Partial College	Manual	No	1	0-1 Miles	Pacific	26	Young Adult	Yes
20942	Single	Female	" $20,000 "	0	High School	Manual	No	1	5-10 Miles	Europe	31	Adult	No
18484	Single	Male	" $80,000 "	2	High School	Skilled Manual	No	2	1-2 Miles	Pacific	50	Middle Age	Yes
12291	Single	Male	" $90,000 "	5	Partial College	Professional	No	2	2-5 Miles	Europe	62	Middle Age	Yes
28380	Single	Female	" $10,000 "	5	Partial High School	Manual	No	2	0-1 Miles	Europe	41	Adult	No
17891	Married	Female	" $10,000 "	2	Partial College	Manual	Yes	1	0-1 Miles	Europe	50	Middle Age	Yes
27832	Single	Female	" $30,000 "	0	Partial College	Clerical	No	1	2-5 Miles	Europe	30	Adult	No
26863	Single	Male	" $20,000 "	0	High School	Manual	No	1	2-5 Miles	Europe	28	Young Adult	No
16259	Single	Female	" $10,000 "	4	Partial High School	Manual	Yes	2	0-1 Miles	Europe	40	Adult	Yes
27803	Single	Female	" $30,000 "	2	Partial College	Clerical	No	0	0-1 Miles	Europe	43	Adult	No
14347	Single	Female	" $40,000 "	2	Bachelors	Management	Yes	2	5-10 Miles	Pacific	65	Senior	Yes
17703	Married	Female	" $10,000 "	1	Graduate Degree	Manual	Yes	0	0-1 Miles	Europe	40	Adult	No
17185	Married	Female	" $170,000 "	4	Partial College	Professional	No	3	5-10 Miles	Europe	48	Middle Age	Yes
29380	Married	Female	" $20,000 "	3	High School	Manual	Yes	0	0-1 Miles	Europe	41	Adult	Yes
23986	Married	Female	" $20,000 "	1	Bachelors	Clerical	Yes	0	0-1 Miles	Europe	66	Senior	Yes
24466	Married	Female	" $60,000 "	1	Partial College	Skilled Manual	Yes	1	5-10 Miles	Pacific	46	Middle Age	Yes
29097	Single	Female	" $40,000 "	2	Partial College	Skilled Manual	Yes	2	5-10 Miles	Pacific	52	Middle Age	Yes
19487	Married	Male	" $30,000 "	2	Partial College	Clerical	No	2	0-1 Miles	Europe	42	Adult	No
14939	Single	Male	" $40,000 "	0	Bachelors	Clerical	Yes	0	0-1 Miles	Europe	39	Adult	Yes
13826	Single	Female	" $30,000 "	0	Partial College	Clerical	No	1	0-1 Miles	Europe	28	Young Adult	No
20619	Single	Male	" $80,000 "	0	Bachelors	Professional	No	4	10+ Miles	Pacific	35	Adult	No
12558	Married	Female	" $20,000 "	1	Bachelors	Clerical	Yes	0	0-1 Miles	Europe	65	Senior	No
24871	Single	Female	" $90,000 "	4	High School	Management	No	3	5-10 Miles	Europe	56	Middle Age	No
17319	Single	Female	" $70,000 "	0	Bachelors	Professional	No	1	5-10 Miles	Pacific	42	Adult	No
28906	Married	Male	" $80,000 "	4	High School	Professional	Yes	2	10+ Miles	Europe	54	Middle Age	No
12808	Married	Male	" $40,000 "	0	Bachelors	Clerical	Yes	0	0-1 Miles	Europe	38	Adult	Yes
20567	Married	Male	" $130,000 "	4	Partial College	Professional	No	4	5-10 Miles	Europe	61	Middle Age	Yes
25502	Married	Female	" $40,000 "	1	Bachelors	Skilled Manual	Yes	0	0-1 Miles	Europe	43	Adult	Yes
15580	Married	Male	" $60,000 "	2	Bachelors	Professional	Yes	1	2-5 Miles	Pacific	38	Adult	Yes
24185	Single	Female	" $10,000 "	1	High School	Manual	No	1	1-2 Miles	Europe	45	Middle Age	No
19291	Single	Female	" $10,000 "	2	High School	Manual	Yes	0	0-1 Miles	Europe	35	Adult	No
16713	Married	Male	" $40,000 "	2	Bachelors	Management	Yes	1	0-1 Miles	Pacific	52	Middle Age	Yes
16185	Single	Male	" $60,000 "	4	Bachelors	Professional	Yes	3	10+ Miles	Pacific	41	Adult	No
14927	Married	Female	" $30,000 "	1	Bachelors	Clerical	Yes	0	0-1 Miles	Europe	37	Adult	Yes
29337	Single	Male	" $30,000 "	2	Partial College	Clerical	Yes	2	5-10 Miles	Pacific	68	Senior	No
29355	Married	Female	" $40,000 "	0	Graduate Degree	Clerical	Yes	0	0-1 Miles	Europe	37	Adult	Yes
25303	Single	Male	" $30,000 "	0	High School	Manual	Yes	1	2-5 Miles	Europe	33	Adult	Yes
14813	Single	Female	" $20,000 "	4	High School	Manual	Yes	1	0-1 Miles	Europe	43	Adult	Yes
16438	Married	Female	" $10,000 "	0	Partial High School	Manual	No	2	0-1 Miles	Europe	30	Adult	No
14238	Married	Male	" $120,000 "	0	Partial High School	Professional	Yes	4	10+ Miles	Pacific	36	Adult	Yes
16200	Single	Female	" $10,000 "	0	Partial High School	Manual	No	2	0-1 Miles	Europe	35	Adult	No
24857	Married	Female	" $130,000 "	3	High School	Professional	Yes	4	0-1 Miles	Europe	52	Middle Age	No
26956	Single	Female	" $20,000 "	0	Partial College	Manual	No	1	2-5 Miles	Europe	36	Adult	Yes
14517	Married	Female	" $20,000 "	3	High School	Skilled Manual	No	2	1-2 Miles	Pacific	62	Middle Age	No
12678	Single	Female	" $130,000 "	4	High School	Management	Yes	4	0-1 Miles	Pacific	31	Adult	No
16188	Single	Female	" $20,000 "	0	Partial High School	Manual	No	2	1-2 Miles	Europe	26	Young Adult	No
27969	Married	Male	" $80,000 "	0	Bachelors	Professional	Yes	2	10+ Miles	Pacific	29	Young Adult	Yes
15752	Married	Male	" $80,000 "	2	High School	Skilled Manual	No	2	1-2 Miles	Pacific	50	Middle Age	Yes
27745	Single	Male	" $40,000 "	2	Bachelors	Management	Yes	2	5-10 Miles	Pacific	63	Middle Age	Yes
20828	Married	Female	" $30,000 "	4	Graduate Degree	Clerical	Yes	0	0-1 Miles	Europe	45	Middle Age	Yes
19461	Single	Female	" $10,000 "	4	Partial High School	Manual	Yes	2	0-1 Miles	Europe	40	Adult	No
26941	Married	Male	" $30,000 "	0	Bachelors	Clerical	Yes	0	0-1 Miles	Europe	47	Middle Age	Yes
28412	Single	Male	" $20,000 "	0	High School	Manual	No	1	2-5 Miles	Europe	29	Young Adult	No
24485	Single	Male	" $40,000 "	2	Bachelors	Management	No	1	5-10 Miles	Pacific	52	Middle Age	Yes
16514	Single	Male	" $10,000 "	0	Partial College	Manual	Yes	1	1-2 Miles	Pacific	26	Young Adult	Yes
17191	Single	Male	" $130,000 "	3	Partial College	Professional	No	3	0-1 Miles	Europe	51	Middle Age	Yes
19608	Married	Male	" $80,000 "	5	Bachelors	Professional	Yes	4	1-2 Miles	Pacific	40	Adult	No
24119	Single	Male	" $30,000 "	0	Partial College	Clerical	No	1	2-5 Miles	Europe	29	Young Adult	No
25458	Married	Male	" $20,000 "	1	High School	Manual	No	1	1-2 Miles	Europe	40	Adult	Yes
26886	Single	Female	" $30,000 "	0	Partial College	Clerical	No	1	0-1 Miles	Europe	29	Young Adult	Yes
28436	Single	Male	" $30,000 "	0	Partial College	Clerical	No	1	0-1 Miles	Europe	30	Adult	Yes
19562	Single	Female	" $60,000 "	2	Bachelors	Professional	Yes	1	2-5 Miles	Pacific	37	Adult	Yes
15608	Single	Female	" $30,000 "	0	Partial College	Clerical	No	1	2-5 Miles	Europe	33	Adult	No
16487	Single	Female	" $30,000 "	3	High School	Skilled Manual	Yes	2	5-10 Miles	Pacific	55	Middle Age	No
17197	Single	Female	" $90,000 "	5	Partial College	Professional	Yes	2	10+ Miles	Europe	62	Middle Age	No
12507	Married	Male	" $30,000 "	1	Partial College	Clerical	Yes	1	0-1 Miles	Europe	43	Adult	No
23940	Married	Male	" $40,000 "	1	Bachelors	Skilled Manual	Yes	1	0-1 Miles	Europe	44	Adult	Yes
19441	Married	Male	" $40,000 "	0	Graduate Degree	Clerical	Yes	0	0-1 Miles	Europe	25	Young Adult	Yes
26852	Married	Female	" $20,000 "	3	High School	Manual	Yes	2	0-1 Miles	Europe	43	Adult	No
12274	Single	Male	" $10,000 "	2	High School	Manual	Yes	0	0-1 Miles	Europe	35	Adult	No
20236	Single	Male	" $60,000 "	3	Bachelors	Professional	No	2	0-1 Miles	Pacific	43	Adult	Yes
24149	Married	Male	" $10,000 "	2	Partial College	Manual	Yes	0	1-2 Miles	Europe	49	Middle Age	No
26139	Single	Male	" $60,000 "	1	Partial College	Skilled Manual	Yes	1	5-10 Miles	Pacific	45	Middle Age	No
18491	Single	Female	" $70,000 "	2	High School	Professional	Yes	2	5-10 Miles	Pacific	49	Middle Age	Yes
22707	Single	Female	" $30,000 "	0	Partial College	Clerical	No	1	2-5 Miles	Europe	30	Adult	No
20430	Married	Male	" $70,000 "	2	Partial College	Skilled Manual	Yes	2	5-10 Miles	Pacific	52	Middle Age	Yes
27494	Single	Female	" $40,000 "	2	Partial College	Skilled Manual	No	2	1-2 Miles	Pacific	53	Middle Age	Yes
26829	Married	Female	" $40,000 "	0	Bachelors	Clerical	Yes	0	0-1 Miles	Europe	38	Adult	Yes
28395	Single	Male	" $40,000 "	0	Bachelors	Professional	No	0	0-1 Miles	Europe	39	Adult	Yes
21006	Single	Female	" $30,000 "	1	Partial College	Manual	No	0	0-1 Miles	Europe	46	Middle Age	Yes
14682	Single	Female	" $70,000 "	0	Bachelors	Professional	No	1	5-10 Miles	Pacific	38	Adult	No
17650	Single	Female	" $40,000 "	2	Partial College	Clerical	Yes	2	1-2 Miles	Europe	35	Adult	No
29191	Single	Female	" $130,000 "	1	Graduate Degree	Management	No	1	0-1 Miles	Pacific	36	Adult	Yes
15030	Married	Male	" $20,000 "	0	Bachelors	Clerical	Yes	0	0-1 Miles	Pacific	26	Young Adult	Yes
24140	Single	Male	" $10,000 "	0	Graduate Degree	Manual	No	0	0-1 Miles	Europe	30	Adult	Yes
22496	Married	Female	" $30,000 "	1	Bachelors	Skilled Manual	Yes	2	0-1 Miles	Europe	42	Adult	No
24065	Single	Female	" $20,000 "	0	High School	Manual	Yes	0	0-1 Miles	Europe	40	Adult	Yes
19914	Married	Male	" $80,000 "	5	Bachelors	Management	Yes	2	2-5 Miles	Europe	62	Middle Age	No
12871	Single	Female	" $30,000 "	0	Partial College	Clerical	No	1	2-5 Miles	Europe	29	Young Adult	No
22988	Married	Female	" $40,000 "	2	Bachelors	Management	Yes	2	5-10 Miles	Pacific	66	Senior	Yes
15922	Married	Male	" $150,000 "	2	High School	Professional	Yes	4	0-1 Miles	Europe	48	Middle Age	No
12344	Single	Female	" $80,000 "	0	Bachelors	Professional	No	3	10+ Miles	Pacific	31	Adult	No
23627	Single	Female	" $100,000 "	3	Partial College	Management	No	4	5-10 Miles	Europe	56	Middle Age	No
27775	Single	Female	" $40,000 "	0	Bachelors	Clerical	No	0	0-1 Miles	Europe	38	Adult	Yes
29301	Married	Male	" $80,000 "	5	Bachelors	Professional	Yes	4	1-2 Miles	Pacific	40	Adult	No
12716	Single	Male	" $30,000 "	0	Partial College	Clerical	Yes	1	2-5 Miles	Europe	32	Adult	No
12472	Married	Male	" $30,000 "	1	Bachelors	Clerical	Yes	1	2-5 Miles	Europe	39	Adult	No
20970	Single	Male	" $10,000 "	2	Partial College	Manual	Yes	1	0-1 Miles	Europe	52	Middle Age	Yes
26818	Single	Male	" $10,000 "	3	High School	Manual	Yes	1	0-1 Miles	Europe	39	Adult	Yes
12993	Married	Male	" $60,000 "	2	Bachelors	Professional	Yes	1	2-5 Miles	Pacific	37	Adult	No
14192	Married	Male	" $90,000 "	4	High School	Management	Yes	3	5-10 Miles	Europe	56	Middle Age	Yes
19477	Married	Male	" $40,000 "	0	Bachelors	Professional	Yes	0	0-1 Miles	Europe	40	Adult	Yes
26796	Single	Male	" $40,000 "	2	Bachelors	Management	Yes	2	5-10 Miles	Pacific	65	Senior	Yes
21094	Single	Female	" $30,000 "	2	Partial College	Clerical	Yes	2	0-1 Miles	Europe	42	Adult	No
12234	Married	Male	" $10,000 "	2	Partial College	Manual	Yes	1	2-5 Miles	Europe	52	Middle Age	No
28683	Single	Female	" $10,000 "	1	High School	Manual	No	1	5-10 Miles	Europe	35	Adult	Yes
17994	Single	Male	" $20,000 "	2	High School	Manual	Yes	2	0-1 Miles	Europe	42	Adult	No
24273	Married	Female	" $20,000 "	2	Partial High School	Clerical	Yes	2	5-10 Miles	Pacific	55	Middle Age	Yes
26547	Single	Female	" $30,000 "	2	Partial College	Clerical	No	2	5-10 Miles	Pacific	60	Middle Age	Yes
22500	Single	Male	" $40,000 "	0	Bachelors	Professional	No	0	0-1 Miles	Europe	40	Adult	Yes
23993	Single	Female	" $10,000 "	0	Partial College	Manual	No	1	0-1 Miles	Pacific	26	Young Adult	Yes
14832	Married	Male	" $40,000 "	1	Bachelors	Skilled Manual	Yes	0	0-1 Miles	Europe	42	Adult	Yes
16614	Married	Female	" $80,000 "	0	Bachelors	Professional	Yes	3	10+ Miles	Pacific	32	Adult	No
20877	Single	Male	" $30,000 "	1	Bachelors	Clerical	Yes	0	1-2 Miles	Europe	37	Adult	Yes
20729	Married	Female	" $40,000 "	2	Partial College	Clerical	No	1	0-1 Miles	Europe	34	Adult	No
22464	Married	Male	" $40,000 "	0	Graduate Degree	Clerical	Yes	0	0-1 Miles	Europe	37	Adult	Yes
19475	Married	Female	" $40,000 "	0	Bachelors	Professional	No	0	0-1 Miles	Europe	40	Adult	Yes
19675	Married	Male	" $20,000 "	4	High School	Skilled Manual	Yes	2	5-10 Miles	Pacific	60	Middle Age	No
12728	Single	Male	" $30,000 "	0	Partial College	Clerical	No	1	1-2 Miles	Europe	27	Young Adult	No
26154	Married	Male	" $60,000 "	1	Partial College	Skilled Manual	Yes	1	5-10 Miles	Pacific	43	Adult	Yes
29117	Single	Male	" $100,000 "	1	Bachelors	Management	No	3	0-1 Miles	Pacific	48	Middle Age	No
17845	Single	Female	" $20,000 "	0	Partial High School	Manual	No	2	1-2 Miles	Europe	32	Adult	No
